Store,Week,Month,Day, Amount 
2327,52,12,3,"15,499.95"
2327,52,12,4,"16,920.78"
2327,52,12,5,"20,020.77"
2327,52,12,6,"22,733.27"
2327,52,12,7,"23,508.26"
2336,1,1,1,14541.00
2336,1,1,2,14071.93
2336,1,1,3,22671.44
2336,1,1,4,12508.38
2336,1,1,5,15322.77
2336,1,1,6,20795.19
2336,1,1,7,20795.19
2336,2,1,1,12441.42
2336,2,1,2,11974.87
2336,2,1,3,11974.87
2336,2,1,4,11974.87
2336,2,1,5,13219.01
2336,2,1,6,18662.13
2336,2,1,7,19128.68
2336,3,1,1,11446.09
2336,3,1,2,11016.86
2336,3,1,3,11016.86
2336,3,1,4,11016.86
2336,3,1,5,12161.47
2336,3,1,6,17455.28
2336,3,1,7,17741.44
2336,4,1,1,9722.78
2336,4,1,2,9150.85
2336,4,1,3,11438.57
2336,4,1,4,11438.57
2336,4,1,5,16357.15
2336,4,1,6,20017.49
2336,4,1,7,20017.49
2336,5,2,1,17693.74
2336,5,2,2,18873.32
2336,5,2,3,13565.20
2336,5,2,4,13565.20
2336,5,2,5,13329.28
2336,5,2,6,14508.86
2336,5,2,7,14744.78
2336,6,2,1,12276.60
2336,6,2,2,11630.46
2336,6,2,3,11630.46
2336,6,2,4,11630.46
2336,6,2,5,12793.51
2336,6,2,6,19384.11
2336,6,2,7,20030.24
2336,7,2,1,14249.84
2336,7,2,2,18208.13
2336,7,2,3,13458.19
2336,7,2,4,13458.19
2336,7,2,5,15358.17
2336,7,2,6,20899.77
2336,7,2,7,21374.77
2336,8,2,1,14913.38
2336,8,2,2,14562.48
2336,8,2,3,14562.48
2336,8,2,4,14562.48
2336,8,2,5,15615.19
2336,8,2,6,23685.96
2336,8,2,7,24036.87
2336,9,3,1,12325.62
2336,9,3,2,11973.46
2336,9,3,3,11973.46
2336,9,3,4,12208.24
2336,9,3,5,9390.95
2336,9,3,6,17608.03
2336,9,3,7,17608.03
2336,10,3,1,11545.85
2336,10,3,2,11138.35
2336,10,3,3,11138.35
2336,10,3,4,11138.35
2336,10,3,5,12225.02
2336,10,3,6,19288.37
2336,10,3,7,19695.87
2336,11,3,1,15447.53
2336,11,3,2,14665.37
2336,11,3,3,14860.91
2336,11,3,4,14860.91
2336,11,3,5,16034.14
2336,11,3,6,24442.29
2336,11,3,7,24833.37
2336,12,3,1,25121.29
2336,12,3,2,16358.05
2336,12,3,3,16358.05
2336,12,3,4,16358.05
2336,12,3,5,17331.74
2336,12,3,6,25316.03
2336,12,3,7,25316.03
2336,13,3,1,12892.21
2336,13,3,2,11664.38
2336,13,3,3,11664.38
2336,13,3,4,12278.30
2336,13,3,5,17557.96
2336,13,3,6,25784.42
2336,13,3,7,26398.34
2336,14,4,1,13707.75
2336,14,4,2,14850.06
2336,14,4,3,13136.59
2336,14,4,4,13136.59
2336,14,4,5,16563.53
2336,14,4,6,17134.69
2336,14,4,7,17134.69
2336,15,4,1,12705.05
2336,15,4,2,11253.05
2336,15,4,3,11253.05
2336,15,4,4,11253.05
2336,15,4,5,13552.06
2336,15,4,6,18755.08
2336,15,4,7,18755.08
2336,16,4,1,11040.43
2336,16,4,2,10650.77
2336,16,4,3,10650.77
2336,16,4,4,10650.77
2336,16,4,5,11689.87
2336,16,4,6,17534.81
2336,16,4,7,17664.69
2336,17,4,1,11615.90
2336,17,4,2,11169.14
2336,17,4,3,11169.14
