StoreNo,StoreName,ATV,GOB,GOBE,Card_Sold,PWP,IPB,BCR,CCR
56,GURNEY PLAZA, 59.7 ,0.1000,0.4119,3940,0.2135,3.5,0.5497,0.3500
84,PRIMA TANJUNG PENANG, 43.0 ,0.1618,0.3411,400,0.3227,3.1,0.7406,0.6378
258,1ST AVENUE, 43.0 ,0.1443,0.3763,1250,0.2145,3.2,0.6509,0.6272
390,LOTUS'S TANJUNG PINANG, 43.6 ,0.1421,0.3544,970,0.2708,3.1,0.6873,0.4900
438,PRANGIN MALL 2, 43.0 ,0.1216,0.3601,560,0.2036,3.1,0.6322,0.4116
634,BURMAH ROAD, 45.9 ,0.1372,0.3865,400,0.2958,3.4,0.7165,0.6014
648,MACALISTER VISTA, 43.0 ,0.1414,0.3754,560,0.2698,3.4,0.6747,0.6804
2142,GURNEY PARAGON T, 47.5 ,0.1205,0.4250,600,0.2123,3.2,0.6399,0.3500
2249,GURNEY PLAZA 2, 50.2 ,0.1107,0.4713,400,0.1772,3.3,0.5067,0.3500
156,AEON SEREMBAN 2, 59.1 ,0.1000,0.3759,6780,0.3273,3.6,0.7057,0.4664
348,SEREMBAN PRIMA MALL, 43.0 ,0.1251,0.3618,700,0.1731,3.2,0.4732,0.4190
381,PALM MALL, 47.0 ,0.0997,0.3753,1210,0.2339,3.3,0.5038,0.4241
433,LOTUS'S SEREMBAN 2, 43.0 ,0.1317,0.3526,400,0.2233,3.1,0.4500,0.5394
462,CENTREPOINT SEREMBAN, 43.0 ,0.1380,0.3770,510,0.2644,3.2,0.4500,0.3831
564,MYDIN SEREMBAN 2, 45.9 ,0.1083,0.3502,400,0.1860,3.3,0.4500,0.5549
638,SEREMBAN GATEWAY, 50.0 ,0.1209,0.3513,420,0.1765,3.3,0.4761,0.5358
2038,SEREMBAN TOWN, 61.9 ,0.1106,0.3722,1350,0.3982,4.0,0.6343,0.5265
2095,SIKAMAT, 43.2 ,0.1231,0.3618,400,0.2660,3.2,0.4500,0.5713
2109,CALTEX TEMIANG, 45.6 ,0.1160,0.3440,400,0.2579,3.4,0.5450,0.5121
263,AEON MELAKA, 59.4 ,0.1166,0.3973,4080,0.3660,3.9,0.7260,0.3732
356,JASIN MELAKA, 49.9 ,0.1254,0.3193,790,0.3620,3.7,0.6353,0.6245
641,MYDIN JASIN, 46.9 ,0.1232,0.3449,970,0.3538,3.5,0.6279,0.5088
2007,DUYUNG BESTARI, 53.2 ,0.1352,0.3538,1160,0.3296,3.8,0.5119,0.7134
